"Value Research Online"
"Date: 17-Jul-2015 12:55"
"Fund","Rating","Category","Launch","Expense Ratio (%)","1-Year Return (%)","1-Year Rank","Net Assets (Cr)"
"LIC Nomura MF Midcap Fund - Regular Plan","Unrated","EQ-M&SC   ","Feb 16, 2015","2.1","-","-","75.34"
"LIC Nomura MF Tax Plan","* * * ","EQ-TP     ","Mar 31, 1997","2.84","28.8","29/73","49.49"
"Mirae Asset China Advantage Fund","Unrated","EQ-INTL   ","Nov 05, 2009","2.41","11.98","-","19.55"
"Mirae Asset Emerging Bluechip Fund - Regular Plan","* * * * * ","EQ-M&SC   ","Jul 09, 2010","2.5","43.43","17/112","779.82"
"Mirae Asset Global Commodity Stocks Fund","Unrated","EQ-INTL   ","Aug 20, 2008","2.82","-22.41","-","8.98"
"Mirae Asset India Opportunities Fund - Regular Plan","* * * * * ","EQ-LC&MC  ","Apr 04, 2008","2.4","26.38","43/125","1178.94"
"Mirae Asset India-China Consumption Fund - Regular Plan","* * * * ","EQ-MLC    ","Mar 29, 2011","2.77","25.85","26/56","37.25"
"Motilal Oswal MOSt Focused 25 Fund - Regular Plan","Unrated","EQ-LC&MC  ","May 13, 2013","2.83","34.43","8/125","410.19"
"Motilal Oswal MOSt Focused Long Term Fund - Regular Plan","Unrated","EQ-TP     ","Jan 15, 2015","2.83","-","-","52.04"
"Motilal Oswal MOSt Focused Midcap 30 Fund - Regular Plan","Unrated","EQ-M&SC   ","Feb 24, 2014","2.63","48.51","6/112","596.52"
"Motilal Oswal MOSt Focused Multicap 35 Fund - Regular Plan","Unrated","EQ-LC&MC  ","Apr 28, 2014","2.35","54.85","2/125","1838.48"
"Motilal Oswal MOSt Shares M100 ETF Fund","* ","EQ-M&SC   ","Jan 31, 2011","1","25.47","93/112","89.25"
"Motilal Oswal MOSt Shares M50 ETF Fund","* ","EQ-LC     ","Jul 28, 2010","1.31","4.86","142/143","25.67"
"Motilal Oswal MOSt Shares NASDAQ - 100 ETF Fund","Unrated","EQ-INTL   ","Mar 29, 2011","0.99","21.89","-","69.88"
"Peerless Equity Fund","* * * * ","EQ-LC     ","Sep 28, 2011","3.13","21.89","34/143","59.99"
"PPFAS Long Term Value Fund - Regular Plan","Unrated","EQ-M&SC   ","May 28, 2013","2.73","17.26","108/112","592.61"
"Pramerica Diversified Equity Fund - Regular Plan","Unrated","EQ-MLC    ","Feb 25, 2015","3.12","-","-","68.38"
"Pramerica Large Cap Equity Fund","* * ","EQ-LC     ","Dec 06, 2010","3.03","20.34","41/143","57.37"
"Pramerica Midcap Opportunities Fund - Regular Plan","Unrated","EQ-M&SC   ","Dec 02, 2013","3.05","31.43","75/112","157.42"
"Principal Dividend Yield Fund","* * ","EQ-MLC    ","Oct 15, 2004","2.65","14.46","53/56","116.25"
"Principal Emerging Bluechip Fund","* * * ","EQ-M&SC   ","Nov 12, 2008","2.48","41.17","27/112","490.87"
"Principal Global Opportunities Fund","Unrated","EQ-INTL   ","Mar 29, 2004","0","-2.89","-","19.04"
"Principal Growth Fund","* * * ","EQ-MLC    ","Oct 25, 2000","2.52","18.39","45/56","375.66"
"Principal Index Fund - Midcap - Regular Plan","Unrated","EQ-M&SC   ","May 12, 2014","0.01","24.99","96/112","12.67"
"Principal Index Fund - Nifty","* * ","EQ-LC     ","Jul 27, 1999","0.01","13.27","107/143","25.23"
"Principal Large Cap Fund","* * * ","EQ-LC     ","Nov 11, 2005","2.53","16.41","58/143","308.29"
"Principal Personal Tax Saver Fund","* * ","EQ-TP     ","Mar 31, 1996","2.51","16.61","66/73","346.93"
"Principal Tax Savings Fund","* * * ","EQ-TP     ","Mar 31, 1996","2.54","18.25","64/73","265.14"
"Quantum Equity FoF Fund","Unrated","EQ-LC&MC  ","Jul 20, 2009","0.5","22.72","82/125","5.41"
"Quantum Index Fund","Unrated","EQ-LC     ","Jul 10, 2008","0.5","14.03","77/143","3.46"
"Quantum Long Term Equity Fund","* * * ","EQ-LC&MC  ","Mar 13, 2006","1.25","13.63","111/125","433.68"
"Quantum Tax Saving Fund","* * * ","EQ-TP     ","Dec 23, 2008","1.25","14.19","67/73","34.65"
"R*Shares Banking ETF","* * * * ","EQ-BANK   ","Jun 19, 2008","0.22","26.55","7/23","326.37"
"R*Shares CNX 100 ETF","Unrated","EQ-LC     ","Mar 22, 2013","1.32","15.62","67/143","6.75"
"R*Shares Consumption ETF","Unrated","EQ-LC     ","Mar 28, 2014","0.05","24.53","16/143","14.53"
"R*Shares Dividend Opportunities ETF","Unrated","EQ-LC&MC  ","Apr 07, 2014","0.05","5.2","124/125","13.04"
"R*Shares Nifty ETF","Unrated","EQ-LC     ","Nov 22, 2013","0.21","14.35","73/143","15.12"
"R*Shares NV20 ETF","Unrated","EQ-LC     ","Jun 12, 2015","-","-","-","25.89"
"R*Shares Sensex ETF","Unrated","EQ-LC     ","Sep 19, 2014","0.19","-","-","55.33"
"Reliance Banking Fund","* * * * ","EQ-BANK   ","May 26, 2003","2.34","25.2","12/23","2223.35"
"Reliance Diversified Power Sector Fund","Unrated","EQ-OTH    ","May 08, 2004","2.27","5.34","-","1893.72"
"Reliance Equity Opportunities Fund","* * * ","EQ-M&SC   ","Mar 28, 2005","2.22","25.65","91/112","11319.48"
"Reliance Focused Large Cap Fund","* * ","EQ-LC&MC  ","Mar 28, 2006","2.4","23.34","71/125","1092.54"
"Reliance Growth Fund","* * * ","EQ-MLC    ","Oct 08, 1995","2.23","29.15","15/56","5492.99"
"Reliance Index Fund - Nifty Plan","* * * ","EQ-LC     ","Sep 28, 2010","0.94","13.4","104/143","54.98"
"Reliance Index Fund - Sensex Plan","Unrated","EQ-LC     ","Sep 28, 2010","0.88","11.57","132/143","5.18"
"Reliance Japan Equity Fund","Unrated","EQ-INTL   ","Aug 20, 2014","2.06","-","-","28.29"
"Reliance Media & Entertainment Fund","Unrated","EQ-OTH    ","Sep 30, 2004","2.91","10.02","-","86.04"
"Reliance Mid & Small Cap Fund","* * * ","EQ-M&SC   ","Dec 26, 2006","2.38","32.06","73/112","2273.5"
"Reliance NRI Equity Fund","* * * ","EQ-LC&MC  ","Nov 15, 2004","2.93","22.79","80/125","91.96"
"Reliance Pharma Fund","Unrated","EQ-PH     ","Jun 05, 2004","2.46","44.54","6/6","1243.63"
"Reliance Quant Plus Fund - Retail Plan","* * ","EQ-LC     ","Apr 18, 2008","2.92","10.07","137/143","1378.51"
"Reliance Regular Savings Fund - Equity Option","* * * ","EQ-MLC    ","Jun 08, 2005","2.28","26.98","21/56","2660.75"
"Reliance Retirement Fund - Wealth Creation Scheme","Unrated","EQ-LC&MC  ","Feb 05, 2015","2.99","-","-","176.11"
"Reliance Small Cap Fund","* * * * ","EQ-M&SC   ","Sep 16, 2010","2.49","33.82","64/112","1604.1"
"Reliance Tax Saver Fund","* * * * ","EQ-TP     ","Sep 21, 2005","2.45","25.6","42/73","4392.95"
"Reliance Top 200 Fund - Retail Plan","* * * ","EQ-LC&MC  ","Aug 08, 2007","2.53","26.28","45/125","1385.79"
"Reliance US Equity Opportunities Fund","Unrated","EQ-INTL   ","Jul 17, 2015","-","-","-","-"
"Reliance Vision Fund","* * ","EQ-MLC    ","Oct 08, 1995","2.28","23.1","33/56","3514.32"
"Religare Invesco AGILE Fund","* ","EQ-LC     ","Dec 19, 2007","2.81","12.61","119/143","26.94"
"Religare Invesco Banking Fund","* * * ","EQ-BANK   ","Jul 14, 2008","2.98","29.1","5/23","85.74"
"Religare Invesco Business Leaders Fund","* * * * ","EQ-LC     ","Aug 21, 2009","3.02","28.09","4/143","55.32"
"Religare Invesco Contra Fund","* * ","EQ-M&SC   ","Apr 11, 2007","2.92","29.63","79/112","195.91"
"Religare Invesco Dynamic Equity Fund","* * * ","EQ-LC&MC  ","Oct 04, 2007","2.91","23.92","62/125","56.11"
"Religare Invesco Global Equity Income Fund - Regular Plan","Unrated","EQ-INTL   ","Apr 28, 2014","2.03","6.28","-","19.04"
"Religare Invesco Growth Fund","* * * * ","EQ-LC&MC  ","Aug 09, 2007","2.78","30.8","20/125","127.14"
"Religare Invesco Infrastructure Fund","* * * * * ","EQ-INFRA  ","Nov 21, 2007","3.05","26.7","8/43","46.95"
"Religare Invesco Mid Cap Fund","* * * * ","EQ-M&SC   ","Apr 19, 2007","3.06","35.85","53/112","114.08"
"Religare Invesco Mid N Small Cap Fund","* * * * ","EQ-M&SC   ","Mar 17, 2008","2.74","34.64","58/112","438.99"
"Religare Invesco Nifty Exchange Traded Fund","Unrated","EQ-LC     ","Jun 06, 2011","1","13.53","97/143","1.52"
"Religare Invesco Pan European Equity Fund - Regular Plan","Unrated","EQ-INTL   ","Jan 31, 2014","1.41","3.67","-","84.08"
"Religare Invesco PSU Equity Fund","Unrated","EQ-OTH    ","Nov 18, 2009","2.77","20.66","-","145.45"
"Religare Invesco Tax Plan","* * * * ","EQ-TP     ","Dec 29, 2006","2.87","32.67","18/73","248.43"
"Sahara Banking and Financial Services Fund","* * * ","EQ-BANK   ","Sep 16, 2008","2.81","19.72","19/23","11.28"
"Sahara Growth Fund","* ","EQ-LC&MC  ","Aug 30, 2002","2.63","4.64","125/125","7.59"
"Sahara Infrastructure Fund - Fixed Pricing Option","* ","EQ-INFRA  ","Apr 03, 2006","2.27","9.37","39/43","5.11"
"Sahara Infrastructure Fund - Variable Pricing Option","* * ","EQ-INFRA  ","Apr 03, 2006","2.27","10.73","37/43","5.11"
"Sahara Midcap Fund","* ","EQ-M&SC   ","Dec 31, 2004","2.84","17.86","107/112","9.78"
"Sahara Power & Natural Resources Fund","Unrated","EQ-OTH    ","Jun 17, 2008","2.82","1.14","-","2.47"
"Sahara R.E.A.L Fund","Unrated","EQ-OTH    ","Nov 27, 2007","2.84","23.07","-","4.06"
"Sahara Star Value Fund","Unrated","EQ-M&SC   ","Sep 14, 2009","2.52","0.77","111/112","1.67"
"Sahara Super 20 Fund","Unrated","EQ-LC     ","Jul 31, 2009","2.82","9.41","140/143","0.66"
"Sahara Tax Gain Fund","* ","EQ-TP     ","Apr 01, 1997","2.83","8.77","73/73","10.47"
"Sahara Wealth Plus Fund - Fixed Pricing Option","* * * * ","EQ-MLC    ","Sep 01, 2005","2","22.52","37/56","11.08"
"Sahara Wealth Plus Fund - Variable Pricing Option","* * * * ","EQ-MLC    ","Sep 01, 2005","2","24.08","30/56","11.08"
"SBI Banking & Financial Services Fund - Regular Plan","Unrated","EQ-BANK   ","Feb 24, 2015","3.04","-","-","268.94"
"SBI Bluechip Fund","* * * * ","EQ-LC&MC  ","Feb 14, 2006","2.39","28.47","31/125","2349.34"
"SBI Contra Fund","* * ","EQ-LC&MC  ","Jul 14, 1999","2.35","22.11","89/125","1969.64"
"SBI Emerging Businesses Fund","* * * ","EQ-M&SC   ","Oct 11, 2004","2.4","22.35","103/112","1592.8"
"SBI ETF Banking Fund","Unrated","EQ-BANK   ","Mar 16, 2015","0.3","-","-","10.76"
"SBI ETF BSE 100 Fund","Unrated","EQ-LC     ","Mar 16, 2015","0.3","-","-","1.62"
"SBI ETF Nifty Junior Fund","Unrated","EQ-MLC    ","Mar 16, 2015","0.3","-","-","11.01"
"SBI FMCG Fund","Unrated","EQ-CG     ","Jul 14, 1999","2.9","20.36","4/4","239.37"
"SBI Infrastructure Fund","* ","EQ-INFRA  ","Jul 06, 2007","2.63","18.12","27/43","540.12"
"SBI IT Fund","Unrated","EQ-IT     ","Jul 14, 1999","3.1","20.87","2/10","93.47"
"SBI Magnum COMMA Fund","Unrated","EQ-OTH    ","Aug 08, 2005","2.84","1.43","-","216.56"
"SBI Magnum Equity Fund","* * * * ","EQ-LC     ","Jan 01, 1991","2.42","22.85","31/143","1240.45"
"SBI Magnum Global Fund","* * * * ","EQ-M&SC   ","Sep 30, 1994","2.4","37.5","45/112","2062.62"
"SBI Magnum Midcap Fund","* * * * * ","EQ-M&SC   ","Mar 29, 2005","2.54","46.01","9/112","1022.11"
"SBI Magnum Multicap Fund","* * * ","EQ-LC&MC  ","Sep 29, 2005","2.73","32.51","14/125","501.55"
"SBI Magnum Multiplier Fund","* * * * ","EQ-LC&MC  ","Feb 28, 1993","2.47","32.21","15/125","1517.68"
"SBI Magnum Taxgain Scheme","* * * ","EQ-TP     ","Mar 31, 1993","2.21","25.79","40/73","4943.47"
"SBI Nifty Index Fund","* * ","EQ-LC     ","Feb 04, 2002","1.62","12.38","125/143","277.34"
"SBI Pharma Fund","Unrated","EQ-PH     ","Jul 14, 1999","2.68","59.74","2/6","579.81"
"SBI PSU Fund","Unrated","EQ-OTH    ","Jul 07, 2010","2.89","1","-","221.85"
"SBI Sensex ETF","Unrated","EQ-LC     ","Mar 08, 2013","0.38","13.81","87/143","4.15"
"SBI Small & Midcap Fund","Unrated","EQ-M&SC   ","Sep 09, 2009","2.61","61.15","2/112","406.79"
"Sundaram Entertainment Opportunities Fund - Regular Plan","Unrated","EQ-OTH    ","Jun 16, 2008","2.97","15.29","-","26.24"
"Sundaram Equity Multiplier Fund","* * ","EQ-M&SC   ","Feb 27, 2007","2.88","25.72","90/112","132.42"
"Sundaram Equity Plus Fund","Unrated","EQ-OTH    ","May 18, 2011","2.07","7.08","-","57.71"
"Sundaram Financial Services Opportunities Fund - Regular Plan","* * ","EQ-BANK   ","Jun 10, 2008","2.94","24.76","13/23","137.37"
"Sundaram Global Advantage Fund","Unrated","EQ-INTL   ","Aug 24, 2007","1.4","-12.14","-","26.63"
"Sundaram Growth Fund - Regular Plan","* ","EQ-LC&MC  ","Apr 24, 1997","2.57","7.02","121/125","255.58"
"Sundaram Infrastructure Advantage Fund - Regular Plan","Unrated","EQ-INFRA  ","Sep 29, 2005","2.85","24.56","13/43","704.38"
"Sundaram PSU Opportunities Fund","Unrated","EQ-OTH    ","Jan 11, 2010","2.87","9.36","-","114.03"
"Sundaram Rural India Fund - Regular Plan","Unrated","EQ-OTH    ","May 12, 2006","2.89","27.02","-","123.75"
"Sundaram S.M.I.L.E. Fund - Regular Plan","* * ","EQ-M&SC   ","Feb 15, 2005","2.63","42.81","21/112","1109.73"
"Sundaram Select Focus Fund - Regular Plan","* ","EQ-LC     ","Jul 30, 2002","2.75","13.13","110/143","390.07"
"Sundaram Select Midcap Fund - Regular Plan","* * * ","EQ-M&SC   ","Jul 30, 2002","2.29","36.67","50/112","3056.17"
"Sundaram Taxsaver","* * ","EQ-TP     ","Nov 22, 1999","2.45","26.27","37/73","1180.35"
"Tata Dividend Yield Fund - Plan A","* * * ","EQ-MLC    ","Nov 22, 2004","2.75","25.74","27/56","310.16"
"Tata Equity Opportunities Fund - Plan A","* * * ","EQ-LC&MC  ","Mar 29, 2003","2.6","28.91","30/125","1056.44"
"Tata Equity PE Fund - Plan A","* * ","EQ-M&SC   ","Jun 29, 2004","2.83","24.19","99/112","631.75"
"Tata Ethical Fund - Plan A","* * * * * ","EQ-MLC    ","Apr 15, 2001","2.97","30.15","12/56","322.62"
"Tata Index Nifty Fund - Plan A","* * ","EQ-LC     ","Feb 25, 2003","1.77","12.67","118/143","10.57"
"Tata Index Sensex Fund - Plan A","* * ","EQ-LC     ","Feb 25, 2003","1.77","11.18","134/143","6.53"
"Tata Infrastructure Fund - Plan A","* * * ","EQ-INFRA  ","Dec 31, 2004","2.54","25.76","11/43","717.26"
"Tata Midcap Growth Plan A Fund","* * * ","EQ-M&SC   ","Jul 01, 1994","3.01","42.62","22/112","484.56"
"Tata Pure Equity Fund - Plan A","* * * * ","EQ-LC     ","May 07, 1998","2.63","22.12","33/143","833.59"
"Tata Retirement Savings Fund - Progressive Plan - Plan A","* * ","EQ-LC&MC  ","Nov 01, 2011","3.07","26.85","38/125","96.62"
"Tata Tax Saving Fund","* * * * ","EQ-TP     ","Mar 31, 1996","2.74","30.03","25/73","218.2"
"Taurus Banking & Financial Services Fund - Regular Plan","* * ","EQ-BANK   ","May 22, 2012","2.9","16.99","21/23","7.09"
"Taurus Bonanza Fund - Regular Plan","* ","EQ-LC&MC  ","Feb 28, 1995","2.98","24.12","60/125","23.77"
"Taurus Discovery Fund - Regular Plan","* * ","EQ-M&SC   ","Sep 05, 1994","2.88","36.16","52/112","33.23"
"Taurus Ethical Fund - Regular Plan","* * * ","EQ-LC&MC  ","Apr 06, 2009","2.88","26.77","39/125","27.32"
"Taurus Infrastructure Fund - Regular Plan","* * * ","EQ-INFRA  ","Mar 05, 2007","2.87","19.16","24/43","5.77"
"Taurus Nifty Index Fund - Regular Plan","Unrated","EQ-LC     ","Jun 19, 2010","1.58","13.01","111/143","0.54"
"Taurus Starshare Fund - Regular Plan","* * ","EQ-LC&MC  ","Jan 29, 1994","2.83","22.99","75/125","205.18"
"Taurus Tax Shield Fund - Regular Plan","* ","EQ-TP     ","Mar 31, 1996","2.97","20.08","59/73","78.77"
"Templeton India Equity Income Fund","* * ","EQ-M&SC   ","May 18, 2006","2.45","15.71","110/112","1037.26"
"Templeton India Growth Fund","* * ","EQ-MLC    ","Sep 10, 1996","2.66","21.66","39/56","529.4"
"Union KBC Equity Fund","* * ","EQ-LC&MC  ","Jun 10, 2011","3.03","12.3","115/125","131.73"
"Union KBC Small and Midcap Fund - Regular Plan","Unrated","EQ-M&SC   ","Jun 03, 2014","3.12","23.89","100/112","85.56"
"Union KBC Tax Saver Fund","* * * ","EQ-TP     ","Dec 23, 2011","3.21","19.35","61/73","80.94"
"UTI Banking Sector Fund - Regular Plan","* * * ","EQ-BANK   ","Apr 07, 2004","2.81","22.61","17/23","413.16"
"UTI Dividend Yield Fund","* ","EQ-LC&MC  ","May 03, 2005","2.2","13.3","113/125","2966.85"
"UTI Energy Fund","Unrated","EQ-OTH    ","Nov 12, 2007","2.68","3.08","-","230.89"
"UTI Equity Fund","* * * * * ","EQ-LC     ","May 18, 1992","2.2","24.05","22/143","4245.94"
"UTI Equity Tax Savings Fund","* * ","EQ-TP     ","Dec 15, 1999","2.76","22.3","51/73","610.74"
"UTI India Lifestyle Fund","Unrated","EQ-OTH    ","Jul 30, 2007","2.64","15.68","-","300.32"
"UTI Infrastructure Fund","* * ","EQ-INFRA  ","Apr 07, 2004","2.25","19.57","22/43","1518.25"
"UTI Leadership Equity Fund","* * * ","EQ-LC     ","Jan 30, 2006","2.25","18.61","48/143","1616.05"
"UTI Mastershare Fund","* * * * ","EQ-LC     ","Oct 18, 1986","2.3","23.35","28/143","3037.82"
"UTI Mid Cap Fund","* * * * ","EQ-M&SC   ","Apr 07, 2004","2.36","41.86","26/112","3001.94"
"UTI MNC Fund","Unrated","EQ-OTH    ","Jul 10, 1998","2.75","49.43","-","1237.1"
"UTI Multi Cap Fund - Regular Plan","Unrated","EQ-LC&MC  ","Aug 25, 2014","2.71","-","-","379.23"
"UTI Nifty Index Fund","* * * ","EQ-LC     ","Mar 06, 2000","0.51","13.71","91/143","264.7"
"UTI Opportunities Fund","* * * * * ","EQ-LC     ","Jul 20, 2005","2.18","15.94","65/143","5285.85"
"UTI Pharma & Healthcare Fund","Unrated","EQ-PH     ","Jun 28, 1999","2.88","46.05","4/6","263"
"UTI Top 100 Fund","* * * * ","EQ-LC     ","May 20, 2009","2.62","25.13","15/143","854.05"
"UTI Transportation and Logistics Fund","Unrated","EQ-OTH    ","Apr 07, 2004","2.78","36.85","-","542.02"
"UTI Wealth Builder Fund - Series II - Retail Plan","Unrated","EQ-OTH    ","Nov 19, 2008","2.62","7.2","-","448.87"
